feature,1JHC,1JHN,2JHC,2JHH,2JHN,3JHH,3JHN
feat_acsf_g4_O_O__01_4_-1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_O_O__01_4_-1__atom1,False,False,False,False,False,False,False
feat_acsf_g4_O_O__1_4_-1__atom0,False,False,False,False,False,False,False
feat_acsf_g4_O_O__1_4_-1__atom1,False,False,False,False,False,False,False
freqs_max,False,False,False,False,False,False,False
freqs_mean,False,False,False,False,False,False,False
freqs_min,False,False,False,False,False,False,False
gap,False,False,False,False,False,False,False
homo,False,False,False,False,False,False,False
inv_dist0E,False,False,False,False,False,False,False
inv_dist0R,False,False,False,False,True,True,False
inv_dist1,False,True,False,False,False,False,False
inv_dist1E,False,False,False,False,False,False,False
inv_dist1R,True,True,False,False,False,False,False
inv_distP,False,False,False,False,True,False,False
inv_distPE,True,False,False,False,True,False,False
inv_distPR,False,False,False,False,False,True,False
linkM0,False,False,False,False,False,False,False
linkM1,False,False,False,False,False,True,False
linkN,False,False,False,False,False,False,False
lumo,False,False,False,False,False,False,False
max_molecule_atom_0_dist_xyz,False,False,False,False,True,False,False
max_molecule_atom_1_dist_xyz,False,False,False,False,False,True,False
mean_molecule_atom_0_dist_xyz,False,False,False,False,False,False,False
mean_molecule_atom_1_dist_xyz,False,False,False,False,False,False,False
min_molecule_atom_0_dist_xyz,False,False,False,False,True,True,False
min_molecule_atom_1_dist_xyz,False,True,False,False,False,False,False
molecule_atom_index_0_dist_mean,False,False,False,False,False,False,True
molecule_atom_index_0_dist_mean_diff,False,False,False,False,True,False,False
molecule_atom_index_0_dist_min,False,False,False,False,False,True,False
molecule_atom_index_0_dist_min_diff,False,False,False,False,False,False,False
molecule_atom_index_0_dist_std,False,False,False,False,True,True,False
molecule_atom_index_1_dist_mean,True,True,False,False,True,True,False
molecule_atom_index_1_dist_mean_diff,False,False,False,False,True,True,False
molecule_atom_index_1_dist_min,False,False,False,False,False,False,False
molecule_atom_index_1_dist_min_diff,False,False,False,False,False,False,True
molecule_atom_index_1_dist_std,False,False,False,False,False,True,False
