feature,1JHC,1JHN,2JHC,2JHH,2JHN,3JHC,3JHH,3JHN
"feat_acsf_g2_H_[1, 6]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g2_H_[1, 6]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g2_N_[0.01, 2]_atom0",True,True,True,False,True,True,True,True
"feat_acsf_g2_N_[1, 2]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g2_N_[1, 6]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g2_O_[1, 2]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g2_O_[1, 2]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g2_O_[1, 6]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g2_O_[1, 6]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_C_[0.01, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_C_[0.01, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_C_[0.01, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_C_[0.01, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_C_[0.1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_C_[0.1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_C_[0.1, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_C_[1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_C_[1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_C_[1, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_C_[1, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_H_[0.1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_H_[0.1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_H_[0.1, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_H_[0.1, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_H_[1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_H_[1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_H_[1, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_C_H_[1, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_H_H_[0.01, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_H_H_[0.01, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_H_H_[0.1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_H_H_[0.1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_H_H_[0.1, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_H_H_[0.1, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_H_H_[1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_H_H_[1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_H_H_[1, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_H_H_[1, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_C_[0.01, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_C_[0.1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_C_[0.1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_C_[0.1, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_C_[1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_C_[1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_C_[1, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_C_[1, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_H_[0.1, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_H_[1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_H_[1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_H_[1, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_H_[1, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_N_[0.01, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_N_N_[1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_C_[0.01, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_C_[0.01, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_C_[0.01, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_C_[0.1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_C_[0.1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_C_[0.1, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_C_[1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_C_[1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_C_[1, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_C_[1, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_H_[0.01, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_H_[0.1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_H_[0.1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_H_[0.1, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_H_[0.1, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_H_[1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_H_[1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_H_[1, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_H_[1, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_N_[0.1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_N_[0.1, 4, 1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_N_[1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_N_[1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_N_[1, 4, 1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_O_[0.1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_O_[0.1, 4, -1]_atom1",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_O_[1, 4, -1]_atom0",True,True,True,True,True,True,True,True
"feat_acsf_g4_O_O_[1, 4, -1]_atom1",True,True,True,True,True,True,True,True
inv_dist0E,True,True,True,True,True,True,True,True
inv_dist0R,True,True,True,True,True,True,True,True
inv_dist1,True,True,True,True,True,True,True,True
inv_dist1E,True,True,True,True,True,True,True,True
inv_dist1R,True,True,True,True,True,True,True,True
inv_distP,True,True,True,True,True,True,True,True
inv_distPE,True,True,True,True,True,True,True,True
inv_distPR,True,True,True,True,True,True,True,True
linkM0,True,True,True,True,True,True,True,True
linkM1,True,True,True,True,True,True,True,True
linkN,True,True,True,True,True,True,True,True
max_molecule_atom_0_dist_xyz,True,True,True,True,True,True,True,True
max_molecule_atom_1_dist_xyz,True,True,True,True,True,True,True,True
mean_molecule_atom_0_dist_xyz,True,True,True,True,True,True,True,True
mean_molecule_atom_1_dist_xyz,True,True,True,True,True,True,True,True
meta_fc,True,True,True,True,True,True,True,True
min_molecule_atom_0_dist_xyz,True,True,True,True,True,True,True,True
min_molecule_atom_1_dist_xyz,True,True,True,True,True,True,True,True
sd_molecule_atom_1_dist_xyz,True,True,True,True,True,True,True,True
tor_ang_2leftleft_count,True,True,,,,,,
tor_ang_2leftleft_max,True,True,,,,,,
tor_ang_2leftleft_mean,True,True,,,,,,
tor_ang_2leftleft_min,True,True,,,,,,
val_not_0_mean,True,True,True,True,True,True,True,True
val_not_0_min,True,True,,False,True,False,False,True
val_not_0_std,True,True,True,True,True,True,True,True
val_not_1_mean,True,True,True,True,True,True,True,True
val_not_1_std,True,True,True,True,True,True,True,True
yukawa_C.x,True,True,True,True,True,True,True,True
yukawa_H.x,True,True,True,True,True,True,True,True
yukawa_H.y,True,True,True,True,True,True,True,True
yukawa_N.x,True,True,True,True,True,True,True,True
yukawa_O.x,True,True,True,True,True,True,True,True
